id,title,text,class1,class2
471,越设计，越高级！,"Yana Demidovich新作，面积130m²，设计师运用独有的创作方式，结合高级灰与木饰面，在明亮的采光下，带来一种舒适优雅的男性气质。
“在实现理想布局的过程中，
希望将公寓的矩形分为两部分，以便将主卧与公共区域隔离开，并尽可能节省可用空间，放弃复杂的规划解决方案。
Yana从不会复制别人的风格，这根本没意思，根据业主喜爱的色调和一定的“男性气质”。必须设置一个入口大厅，一间客厅厨房，一间带淋浴间的男孩房，主人房是一间带大衣柜和淋浴房的卧室，还有一个舒适的洗衣房。
富有变化的层次营造低调雅致的观感，凸显出艺术与闲雅姿态，渲染时尚的格调与高贵的气质。Yana认为木制天花板是她面对最困难的元素，预先进行准确的计算，这样才能一件一件并准确无误的安装。
卧室的材料选择、纹理组合、颜色搭配，空间干净利落，木色地板和艺术灯饰之间，有着有趣的互动，绿植点缀，呈现了一个细腻、自然、温暖的空间。B＆B Italia的床，Maxalto的床头柜，Poliform的长凳，Gallotti＆Radice的化妆台等等。
主卫干湿分离，简约的线条很有艺术性，符合所有人体工程学定律，空间显得更为精致。Fima Carlo Frattini水龙头，Scarabeo洁具，Nuts Design设计的镜子。
一个十几岁的男孩的卧室以浅灰色为主，绿色的植物点缀，采光条件非常好，营造出素雅清爽的感觉。
，Poliform的床头柜，Gubi的吊灯，
Mariag Home的床上用品等等
男孩房的浴室间，Fima Carlo Frattini淋浴系统，Cielo镜子，Davide Groppi吊灯，墙上的玻璃面板和淋浴房的玻璃架子是由Kaskad Steklo定制的。
Yana Demidovich
Yana Demidovich在一个建筑师家庭中长大，因此她从小就参与了创作过程，并且在15岁那年就已经确定要从事室内设计。她独特的审美观，巧妙地运用软装搭配，营造出温暖自然的空间氛围，在细腻和粗糙的搭配下，展现出岁月感和现代美感。",住宅空间,平层
472,墨西哥Sal别墅(2020)(RIMA Design Group)设计,"墨西哥房屋
设计师：RIMA Design Group
 面积：450 m²
年份：2020
提供协助：Fester, Helvex, Kohler, Mosaicos Venecianos de México®, Sika, AutoDesk, Leviton, Magg, Pasa, Sherwin-Williams, Ventor, Apasco, Axalta, C.R. Laurence, Cafe, Carrier, Clopay, Coyote, Delta, Emtek, +13Everest Solar System, GE Lighting, Jandy, Lorentz, Monogram, OutBack, Proline, Scotsman, Simpliphi, Tarengo, Tech Dry, Trimble Navigation, Viega-13
设计团队：Gerry Rivero, Maritere Rivero, Carlos Flores, Guillermo Valles, Napoleón Guerrero.
施工队伍：Sergio Granillo, Pedro Ricardez, Jorge Montaño
工程师：MGA Calculo Estructural
园林绿化：RIMA Design Group
顾问：Zone Energy
国家：墨西哥
设计师描述 | Designer description：
该项目始于客户寻求我们设计其位于洛斯卡沃斯郊区Cabo del Este的海滨别墅，该地区目前缺乏基础设施，还以冲浪浪潮而闻名。 位置和景观无与伦比，即使在城市环境之外，由于最近铺设的道路，它与最近的城市相连，这条道路在三年前曾是南加利福尼亚沙漠中的典型土路。 除了距离遥远和缺乏必要的基础设施外，该项目的主要挑战之一是寻求可持续的材料和系统来建造和运营房屋。
我们最初的重点是将填充的土墙纳入主要空间，并在其余空间中使用混凝土作为第二种材料。堆积的土墙用作隔热材料，同时为周围房屋的干燥沙漠提供温暖和湿气。反过来，它们与抛光的混凝土地板和墙壁以及在现场浇铸的中央T形大厅的平板形成对比，这些平板形成了允许自然光进入的开口。我们想将中央休息室探索为开放式的帕拉帕（palapa），在大陆沿海建筑中非常常见。照明和交叉通风都是通过上部窗户的开口产生的，这些开口与位于房屋各轴上的露台共同形成被动流动。根据客户的要求，每个房间在夏季都可以容纳空调设备。但是，房屋流动的设计方式允许海风和海浪声在空间中传播。该设计还从内部传播到外部，从而在内部空间的舒适性与巴哈的地中海景观之间创造了一种难以察觉的过渡。用于操作该单层四卧室房屋的设备具有48个屋顶太阳能电池板，逆变器，锂电池和一个发电机，可在大雨天或阴天时为太阳能系统提供帮助。
为了对客人进行这项技术的理解，太阳能电池板暴露在中央瓷砖的边缘，并且在到达时可见。通过主检修台旁边的透明门也可以看到电池室。 设备的其余部分被隐藏起来，由污水处理厂，两个地下蓄水池组成，一个用于饮用水，另一个用于处理景观灌溉用水。 此外，还安装了一个丙烷储气罐来加热水，火炉和按摩浴缸。 作为我们开发的第一个利用太阳能，自然和经济发展的项目，我们不得不提高设计和功能的效率。 从头到尾，我们都想在加利福尼亚州下加利福尼亚（Baja California）创建当代建筑，使用水平线条，大型阴影室内外空间以及当地材料来建造简单而又非凡的房屋。
项目完工照片 | Finished Photos",住宅空间,别墅
473,奥迅设计罗海峰丨荷塘月色 肇庆方直亚汀公馆样板间A户型 | 奥迅设计.奥妙陈设,"月光如流水一般，
静静地泻在这一片叶子和花上，
薄薄的青雾浮起在荷塘里。
 ——朱自清《荷塘月色》
朱自清笔下荷花，比喻“出浴的美人”，亭亭玉立水中央，给人一种美的极致和遐想。借助现代艺术的串联，凝结荷花的婉约风韵之姿，与英姿飒爽的墨绿勾画，恰好从流水般的灯光投射出“荷塘月色”的景致。
得益项目地理优势，肇庆方直亚汀公馆项目选址鼎湖山下，占据城市稀缺自然资源，坐拥荷塘美色，临湖羡景，馥郁柔芳，观赏自得。于此，奥迅选取“荷塘月色”的叙事笔法，深挖隐藏产品表象之下的概念，融合东方文化的美学神韵和现代的时尚感，将其意境化作空间点、线、面的韵律与节奏，勾绘出现代自然的画面。
清水出芙蓉，天然去雕饰。设计师基于文艺内在联系，于空间中做美感论述与人文思考。选取墨绿与黑白线条的和谐碰撞，将荷花的千姿百态跃然于墙上，加以现代感的造型与东方特质的线条，在千变万化的组合中散发出风韵。
奥迅临摹居者“赋闲”的生活场景，一如《瓦尔登湖》中描述的一样，在远离繁杂的城市，在湖畔边上，在那个充满荷花美景的房间里，静坐品茶，也可偷得浮生半日闲的时光。
将客厅和茶室之间的隔断墙重新打通与改造，契合格栅的中通外直，让空间尺度更立体。自然的纹路，粗狂的台面，互映于天花，层次之下，所有的装饰点缀恰到好处，既不沉闷也不浮躁，随着视觉的推进，材质的层次与空间进行平衍共生。
融合，荷塘月色的景致
行至餐厅区域，奥迅利用在立面上的细节进行精心设计和重组，延续整体色彩，以墨绿作为点缀调节，加以灯光的点点荷叶，达到追求空间维度的丰富变化，营造出生活与创作都有了云深不知处的妙意。
回归，功能美学的体验
碧荷生幽泉，朝日艳且鲜。一幅展现中国艺术的水墨莲花映入眼帘，交织着琉璃幻化的锦鲤，幻化成一个静寂的美学空间，皆蕴含着晓然的禅意意境。
设计师以古风老物件的硬朗风格，和细腻的刺绣鲜明碰撞，这看似冲突的构成，实则是设计对美的理解与感受，将一切调和得合理、自然、妥帖。
孩子房围绕11岁男孩的居住角色的设定，温润雅致的木色，随处可见的昆虫标本，让大胆而舒适的配色，把卧室空间带入一个自然生动的童趣世界。
荷塘月色是美妙温馨的，是人人向往的美好安宁。这一空间情绪被安置于在女孩房空间中，用一支支荷花亭亭玉立，像娇羞的少女，满脸绯红，微微含笑...
竹色溪下绿，荷花镜里香。奥迅将“荷塘月色”的美景，融合东方文化的美学神韵和现代的时尚感，为都市人勾绘出现代自然的居住场所，既有东方韵味，又在简练中散逸出悠然的生活气息。
业主团队：林艺峰，张承
室内设计：奥迅设计，奥妙陈设
硬装主创设计师：罗皓，马畅
软装主创设计师：何虹燕，朱淑宜
设计面积：102㎡
项目摄影：覃昭量，彭传恒",住宅空间,样板间
474,LSD葛亚曦-澳洲Stack  上海内环内「万科·中興路一號」skyline天际样板间,"A户型设计从情绪上出发，而连接情绪与现实的关键一环，是贯穿于家中每个区域的材质和色彩的组合。
在这里，抽象的艺术、浓墨重彩的色调、各式各样新锐前卫的设计，为居住者营造出一种无惧任何出格式样或繁复创意的风格。
270°转角窗，眼前就是广阔的城市天际线全景视野。
硬装设计：澳洲Stack设计 软装设计：澳洲Stack设计
硬装设计：澳洲Stack设计 软装设计：澳洲Stack设计
在项目之初，Stack结合上海特有的文化现象，将古典、雅致与都市的现代开放相结合，同时，在设计手法上植入法式长窗等抽象元素，塑造国际化的生活方式。
所有户型的厨房格局可开可合
，借鉴法式长窗的概念，把西式的敞开式厨房理念和生活方式植入到项目中来，同时又能在又需要时完全闭合厨房，实现了完美的生活化的场景。
设计是情感的表达，是对人居最贴近生活的探索。生活方式永远是最打动设计师和消费者的亮点。Stack诉说的不是材料不是品牌，而是生活的态度，人群的诉求。
硬装设计：澳洲Stack设计 软装设计：紫香舸设计
设计以色彩传传达现代都市充满活力的生命节奏与热情。客厅色彩较为丰富，纯粹的蓝加之热情的红，充满时尚、年轻、活力的都市感，让复古来的华丽别致。
设计是一种情感的表达，一种生活致趣的诠释。
H户型 硬装设计：澳洲Stack设计 软装设计：LSD
让我们抢先来看看官方版的全户型图
更适合单身的精英阶层来购买，位置在中间套，虽然面积小，但是五脏俱全，一个人或2口之家居住比较惬意。该户型总价在600-700万/套，入手门槛低。
270°观景的超大落地窗真是赚足了眼球，设想一下，晚上在落地窗前就可以看到陆家嘴三件套。",住宅空间,样板间
475,中南·十洲：前卫之形 艺术天成｜锐度设计,"项目名称：中南十洲别墅样板房 项目地点：广西省南宁市 服务类别：别墅样板房 项目面积：350㎡ 竣工时间：2020年9月 软装设计：锐度深圳软装设计 前卫探索
表达自我 需要先锋态度 中南·十洲，以面向未来的城市理想为愿耕耘美好人居。本案秉承“前卫现代”的理念，用设计营造家的多重性格与面貌，在家人与自我之间寻找一种疗愈能量与乐趣，打造独一无二的栖居之所。
落地窗对景自然，映出庭院葱茏翠绿之意。于开放式空间铺陈对艺术的观想，引入自然光，辅以不同色度的主调蓝，在一种有层次波澜的静谧感里，回应居者内心的前卫艺术潮流与生活态度。
非常规的探索，是前卫态度的表达方式。每一种色彩都有自己的声音，不同的碰撞组合后，产生的协调性和趣味感不尽相同。
在空间中触发居者探索的意念。一条有方向的弧线弹跳在横纵间的视觉感受中，借助光与影融合在整体的空间氛围之内，平衡而充满韵律。
放大空间尺度，延伸精神享受，用开放式书柜填满深纵，完成功能与形式的平衡，满足居者的生活偏好和需求，赋予空间更多的精神内涵，打造有态度的理想栖居。
清风拂缦，无界自然，卧室色调相对平和克制，以灰色为床头背景，木质与布艺的材质交织出平和感官氛围，主张向外延伸的思想张力。
尊重居者生活态度与人文情怀，将温和内敛的气质作为陈设美学的出发点，延展审美的多义性，触动人心。
色彩无限，乐趣世界。为小冒险家们准备的探索宇宙乐园，跳跃蓝勾勒出加勒比风情，开阔的空间让孩子尽情玩耍，延伸童年关于创造力的天马行空。
以细节打造完成美学呈现，以前卫的艺术姿态营造丰富有趣的居住体验，创造一处多元的、包容的理想居所。中南·十洲，落笔南宁开启城市新生未来的序幕。",住宅空间,样板间
476,当代简约设计的精致  Anna Lapina新作,"Anna Lapina是位于乌克兰基辅的设计工作室，由年轻有创造力的设计师创建，致力于将当代设计与时尚生活完美融合的空间哲学。
Anna Lapina design studio is located in Kiev, founded by young, creative designers, dedicated to space would be a perfect fusion of contemporary design and fashion life philosophy.
DUSTY GREEN
HYBRID SPACE",住宅空间,别墅
477,白色极简主义，纯粹！,"M3 ARCHITECTS新作，56㎡极简小宅，为由设计师Illia Temnov, Koss Turbin, Hrabko Oleksii共同设计，空间分为四个区域：客厅、厨房、卧室和浴室，设计师利用木色与白色打造收纳充足、纯粹无压的居家空间。
这个白色极简公寓，开放空间简洁地划分为功能区，功能区的核心是客厅。室内的主要色调通过光线、家具和纺织品来表现。",住宅空间,公寓
478,LESS喜签  星河·成都温江WORLD样板房项目,"成都，一座流动着市井烟火的城市
有开头，有中场，有曲折起伏，却没有结尾
全面体现新发展发展理念
宜业宜居宜游的新中心城区
A New Center Urban Area For Business
Inhabitation And Travel
That Entirely Embodies
The New Development Concept
星河WORLD项目效果图
星河控股集团首次大手笔布局中国西部，成都星河WORLD项目正式落户成都温江，作为温江区大力实施项目招引攻坚行动所取得的又一重要成果。成都星河WORLD项目总占地约1120亩，计划总投资160亿元。
勾勒出一种高级典雅的轻奢生活
Leaping through space
The expression of personality and space
Sketch out a kind of
High - class elegant light luxury life
温润的暖灰，线与面的结合
传递平静和谐纯粹的空间感受
将空间的气质渲染到极致
Warm ash, line and surface combination
Deliver calm, harmonious
And pure space feeling
Draw up the temperament
Of the space to the acme
于淡雅气息中彰显自然本性
优雅的生活方式于此蔚然成形
Highlight the natural nature
in the elegant breath
An elegant way of life
has taken shape here
色彩跳跃于宁静的空间中
实现韵律分割又恰到好处的全局把控
Green, gray
Colors leap in the tranquil space
Achieving rhythm segmentation
And proper global control
Metal and wood trim
Integration of art and life
Through elegant and delicate layout
Extraordinary quality of life
项目名称：星河 · 成都温江样板房项目
项目地址：四川成都 甲方团队：陈晓、叶建宏、侯涛
CLICK TO READ MORE
LESS DESIGN INTERNATIONAL PTE.LTD.",住宅空间,样板间
480,传蒂佳作  香榭蒂CHAMPARTE x 成都大发 璞悦珑山样板间,"星空是宁静的，却蕴含着动势的瞬息万变。
天地是浩瀚的，却满载着时间永恒的思考。
脱离开束缚，去探寻更为丰富的精神世界。
畅想着，被引领入开放的时空，追寻星星的轨迹......
此次香榭蒂CHAMPARTE的设计师们化身追星者，
希望可以在成都这一聚居青春与潮流的城市中，构筑一处他们所向往的城市人居生活。
上叠空间/228㎡户型
浩瀚星海下，是满眼的银光，静思冥想。空间里充斥着无垠的宇宙气息，温柔的释放着绚烂的星芒。
抬头仰望星空的广袤，瞬间的时空穿越之感。畅游星际，在家中摩挲着开启一段奇幻太空之旅。
未来 × 星际乐园 × 艺术玩味
FUTURE × STAR LAND × ART
“自然、星宇、艺术、梦幻”，这些词汇被香榭蒂CHAMPARTE的设计师们注入了更多自由的气息，巧妙的实现多维共存。在有限的空间里，延伸更为出浩瀚的星际居所。
地面铺陈，纱帘垂落，似银河流星从九天而落。无限延伸、虚实交织，让空间的可延展维度更强。
冷冽石材的艺术化渗入，完美的平衡点。在空间中探秘、游转，感受到的是感性和理性间的自由穿梭，不经意间，仿若置身未来星空。
芒芒星辉间，天地倒影中，宇宙星空美轮美奂。
都市青年对品质生活的精神渴求，在设计细节展现。色彩，是星空的流光，铺满在餐厅。
菱形灯阵，若流星划过银河后的星痕，随光影流动，制造出不同的情境效果。香榭蒂CHAMPARTE希望所抒写的，是艺术的新奇感，亦是诗意的格调升华。
香榭蒂CHAMPARTE将漫步者带入浩瀚无垠的宇宙空间，唤醒这熙攘时代中永藏着的童真梦想，用星际光芒点缀生活的璨丽。
“我想乘坐宇宙飞船，遨游太空，看看世界的奥秘”。漫步寰宇间，左右的繁星像顽皮的孩子，稚气执着地注视着人间，用明亮的双眸讲述着美丽的神话。
空间是极光星宇的融合，蔚蓝炫彩，无边无际。香榭蒂CHAMPARTE在卧房中，塑造出一张形似太空舱的床榻，夜色降临，眼睛和指尖上仿佛栖息着无数的星。
满载一屋星辉，在极光绚彩中歌唱，星路前方，有一抹迷幻般的白。旅途中与熊相伴，两两相望，身后是一方流星划过天际极光的美景。
入梦时刻，当8岁的我遨游星际乐园，偶遇现在的自己，奇幻愕然后，是否有诸多话语，想对他说......
THE SURFACE
下叠空间/208㎡户型
恍见浪漫沙滩与粼粼金光
漂浮在黄金海岸的温煦之境，奢雅，在空间中自由跃动。石材，金属与编织皮革，化作礁石、海浪，与阳光交织而生。
在粼粼波光间，香榭蒂CHAMPARTE抒写着内陆都市对海与远方的向往，是艺术与感知的复现。
阳光，在多种介质形态间游转，有了更多的变化，是宽敞而明亮的视觉呈现。座椅、灯饰与软陈的差异色彩，似海岸沙滩中的石砾，消融在温煦的阳光里，为空间覆上了一层温暖的色调。
香榭蒂CHAMPARTE意图在保留空间大气宽敞视觉体验的同时，串联起更多细节美学。 因此，空间多处采用黑白对比搭配金色衬托，在客餐厅及开放的厨房区域，架构起温润本色，打造更为感性的黄金海岸体验。
在设计的理性思维中，香榭蒂CHAMPARTE探索着营造出更多材质体验感。
在听觉、视觉、嗅觉、味觉、触觉等不同感官下，互相沟通、交错，合力提升着户型的优雅与高级。
洄游于室，眼中是轻盈通透的阳光与肆意入侵的海浪碧波，自然之景，借由设计想象创造而生。
与其他空间不同，香榭蒂CHAMPARTE利用轻快明媚的海蓝色与粗麻曲线，在儿童房营造出一股浓厚的航海风。
整体空间是明亮和活力的气息，是孩子的好奇之心，童真的航海探险梦，幼小的身躯下，是水手般勇往直前的心，梦想，从这里扬帆起航。
让空间被赋予更多的情感，是香榭蒂CHAMPARTE此次设计工作的思考重点。
平静海面下，是一方奇幻的海底世界，入夜，坐于鲸背，畅游四海，聆听精灵的歌声，感受着生活的诗意与美好。
星空下，璞悦珑山穿越时空而来，以悄然之姿落于天府之地。香榭蒂CHAMPARTE以未来视野畅游空间，希望以更为梦幻与艺术的笔触，在写实与写意之间，描绘出人、空间、宇宙相互依存的艺术形态。
寰宇畅游后，再次构筑出南纬28°黄金海岸下的海滨漫享生活，用艺术创新手法为空间注入优雅与精致，满足了都市人对于阳光海滩的无限遐想。
CHAMPARTE DESIGN
项目名称 | 大发·璞悦珑山样板间
业主单位 | 大发地产
项目地址 | 四川·成都
项目面积 | 228㎡；208㎡
室内设计 | RWD黄志达设计
软装设计 | 香榭蒂设计CHAMPARTE DESIGN
完成时间 | 2020.12
项目摄影 | 瀚墨视觉
撰文策划 | 大梵咨询
尽我们所能，把一切最好的都呈现给您
香榭蒂（上海）装饰工程设计有限公司
THE CHAMPARTE DESIGN GROUP
上海市静安区万荣路700号大宁中心广场A3幢103
Room 103, Building A3, 700 Wanrong Road, Jingan District, Shanghai,China
济南市市中区二环南路2666号鲁能国际中心608
Room 608, Lunengguoji Center, 2666 Erhuannanlu Road,Shizhong District, Jinnan,Shandong
Mobile:18201960385 Ms.Ni
市场发展Marketing-Branding
Mobile:13585783799 Mr.Wei
供商合作Purchasing Dept.
Mobile:13918378318 Mr.Han
人事招聘Personnel Dept.
Mobile:13661919416 Ms.Yin
香榭蒂CHAMPARTE",住宅空间,样板间
481,157㎡ 高颜值的男性空间，客厅太抢眼了！,"IQOSA Architect新作，一个精英住宅区的男性公寓，面积157㎡，室内以
，设计师把它变成一个超级现代的舒适空间。由于业主和朋友经常在此聚会地，所以把客厅变成公寓的主要空间，
可以容纳至少二十位客人。
客厅中央的双面沙发，大面积的落地窗光线充足，
可以俯瞰这个城市的全景。
电视背景墙是手工制作的，根据设计师的设计要求，多块特殊形状大理石拼接而成。
厨房和起居室融为一体，几乎看不见，所有的工作台和设备都藏起来了，厨房岛台结合了工作区和餐厅区，有纹理的形状侧壁在灯光的照射下，显得很突出。
在这个空间里，设计师没有将艺术融入室内，而是将室内融入艺术。
充满了独特的手工制作物，以强调其独特性和地位。
卧室空间采用灰木色调，焦点是在床上头的背景，和谐同时充满层次感，塑造出优雅的艺术气息，由此映射出居住者日常的充实和情感的丰富。
一个大浴缸位于卧室的内侧，沐浴区由移动玻璃门隔开，很棒的一个设计方案，以白色大理石为主，时尚质感的大气空间，洗手台精致与时尚，让整个空间更有艺术感。
PROJECT TEAM
IQOSA Architect，专门从事室内设计的工作，十分擅长将当下的流行趋势、丰富的纹理、质感的中性色调进行融合，能够混合不同风格的设计，创造出文化精神与实用性的完美融合。
IQOSA Architect新作，
丰富的纹理、质感的中性色调进行融合，在设计师的巧妙布局下，将实用性美观性都得到结合。良好的采光可以照射进室内的每一角落，力求在气质上给人深度的感染，质感且优雅。",住宅空间,平层
